fold,epoch,train_loss,val_loss,pr_auc,recall,mcc
1,1,0.4249,0.3923,0.5213,1.0,0.3229
1,2,0.3523,0.3479,0.6061,1.0,0.4664
1,3,0.3258,0.3151,0.6671,1.0,0.5092
1,4,0.3117,0.2988,0.7041,1.0,0.5559
1,5,0.3013,0.2892,0.7163,1.0,0.5629
1,6,0.2855,0.2828,0.7277,1.0,0.5654
1,7,0.2757,0.2767,0.7467,1.0,0.5918
1,8,0.2622,0.2639,0.7616,1.0,0.6124
1,9,0.2568,0.2648,0.7667,1.0,0.617
1,10,0.247,0.2601,0.7752,1.0,0.6276
1,11,0.239,0.265,0.7792,1.0,0.6357
1,12,0.2314,0.2583,0.7837,1.0,0.6426
1,13,0.218,0.2631,0.7881,1.0,0.6347
1,14,0.2116,0.2566,0.7982,1.0,0.6426
1,15,0.2009,0.2661,0.792,1.0,0.6497
1,16,0.195,0.2661,0.7962,1.0,0.6516
1,17,0.1834,0.2666,0.7958,1.0,0.6463
1,18,0.1784,0.2614,0.8079,1.0,0.6607
1,19,0.1676,0.2747,0.7966,1.0,0.6488
1,20,0.1619,0.2669,0.8058,1.0,0.6728
2,1,0.4233,0.3717,0.554,1.0,0.2503
2,2,0.351,0.3361,0.6194,1.0,0.4347
2,3,0.3284,0.3199,0.6581,1.0,0.4999
2,4,0.3126,0.3192,0.6585,1.0,0.4944
2,5,0.2971,0.3015,0.6916,1.0,0.5319
2,6,0.2841,0.2988,0.7064,1.0,0.52
2,7,0.276,0.2893,0.7169,1.0,0.5581
2,8,0.264,0.2845,0.7403,1.0,0.5861
2,9,0.2544,0.2832,0.7355,1.0,0.57
2,10,0.2482,0.2781,0.7511,1.0,0.586
2,11,0.2345,0.2703,0.7697,1.0,0.6223
2,12,0.2279,0.2627,0.7737,1.0,0.6206
2,13,0.2185,0.2688,0.7728,1.0,0.6078
2,14,0.2119,0.2667,0.7875,1.0,0.6364
2,15,0.197,0.2639,0.788,1.0,0.642
2,16,0.1894,0.2688,0.7853,1.0,0.6287
2,17,0.1818,0.2686,0.7937,1.0,0.6358
2,18,0.1736,0.2867,0.7939,1.0,0.6501
2,19,0.1662,0.2748,0.7979,1.0,0.6483
2,20,0.1598,0.2715,0.8005,1.0,0.6553
3,1,0.4264,0.3728,0.5418,1.0,0.3031
3,2,0.3526,0.336,0.6234,1.0,0.4428
3,3,0.3277,0.3199,0.6593,1.0,0.52
3,4,0.3071,0.3068,0.6905,1.0,0.5356
3,5,0.2987,0.2972,0.709,1.0,0.5359
3,6,0.2872,0.3036,0.7039,1.0,0.5452
3,7,0.2736,0.296,0.7155,1.0,0.5554
3,8,0.2642,0.2894,0.7235,1.0,0.5624
3,9,0.2514,0.2793,0.7429,1.0,0.5834
3,10,0.247,0.2759,0.7515,1.0,0.5895
3,11,0.2388,0.2824,0.7533,1.0,0.6001
3,12,0.2264,0.2815,0.7475,1.0,0.5845
3,13,0.2174,0.2745,0.7647,1.0,0.6187
3,14,0.2123,0.2745,0.7745,1.0,0.6128
3,15,0.1972,0.2817,0.7717,1.0,0.619
3,16,0.194,0.2627,0.7862,1.0,0.629
3,17,0.1851,0.2756,0.7872,1.0,0.6431
3,18,0.179,0.2691,0.7909,1.0,0.6444
3,19,0.1673,0.2818,0.7894,1.0,0.6243
3,20,0.162,0.272,0.8003,1.0,0.6586
4,1,0.4221,0.3785,0.5312,1.0,0.3359
4,2,0.3488,0.3366,0.6112,1.0,0.4534
4,3,0.3233,0.3199,0.6477,1.0,0.4639
4,4,0.3067,0.3066,0.669,1.0,0.4956
4,5,0.2963,0.3007,0.6806,1.0,0.5131
4,6,0.2844,0.2924,0.6996,1.0,0.5213
4,7,0.2728,0.2895,0.7055,1.0,0.5542
4,8,0.2638,0.2818,0.7262,1.0,0.5661
4,9,0.2545,0.2874,0.7212,1.0,0.5609
4,10,0.242,0.2813,0.7356,1.0,0.5819
4,11,0.2326,0.28,0.7407,1.0,0.5909
4,12,0.225,0.2793,0.7475,1.0,0.5908
4,13,0.2165,0.2714,0.7548,1.0,0.5963
4,14,0.2058,0.2723,0.7631,1.0,0.6114
4,15,0.2001,0.2751,0.7644,1.0,0.6039
4,16,0.1907,0.2819,0.7738,1.0,0.6131
4,17,0.1833,0.2787,0.7686,1.0,0.6071
4,18,0.1751,0.2773,0.7803,1.0,0.6246
4,19,0.1657,0.2984,0.7672,1.0,0.6026
4,20,0.1629,0.2926,0.7807,1.0,0.6361
5,1,0.4248,0.3733,0.547,1.0,0.3022
5,2,0.3505,0.3305,0.6249,1.0,0.464
5,3,0.3277,0.3217,0.6559,1.0,0.5054
5,4,0.3109,0.3074,0.6824,1.0,0.5407
5,5,0.298,0.295,0.7068,1.0,0.5563
5,6,0.2874,0.2881,0.7235,1.0,0.575
5,7,0.2737,0.288,0.7228,1.0,0.5654
5,8,0.2658,0.2824,0.7326,1.0,0.5693
5,9,0.2537,0.2814,0.7391,1.0,0.5909
5,10,0.2466,0.2728,0.7452,1.0,0.5978
5,11,0.2355,0.2795,0.7454,1.0,0.6033
5,12,0.225,0.2774,0.7459,1.0,0.5901
5,13,0.2177,0.2732,0.7549,1.0,0.614
5,14,0.2124,0.2747,0.7618,1.0,0.6206
5,15,0.2016,0.2713,0.767,1.0,0.6168
5,16,0.1919,0.284,0.7605,1.0,0.6137
5,17,0.1865,0.2706,0.776,1.0,0.6278
5,18,0.176,0.2828,0.7663,1.0,0.6241
5,19,0.1704,0.2759,0.7873,1.0,0.6474
5,20,0.1682,0.2891,0.7748,1.0,0.6382
