fold,epoch,train_loss,val_loss,pr_auc,recall,mcc
1,1,0.4197,0.316,0.6972,1.0,0.5402
1,2,0.3111,0.2905,0.7294,1.0,0.5398
1,3,0.2834,0.2791,0.7563,1.0,0.5746
1,4,0.2676,0.2592,0.7836,1.0,0.614
1,5,0.2505,0.2574,0.78,1.0,0.6035
1,6,0.2331,0.2389,0.8023,1.0,0.6387
1,7,0.2179,0.2326,0.8178,1.0,0.664
1,8,0.2059,0.238,0.8142,1.0,0.6625
1,9,0.1934,0.2457,0.8137,1.0,0.6386
1,10,0.1827,0.2327,0.8263,1.0,0.6648
1,11,0.1683,0.2253,0.8382,1.0,0.6946
1,12,0.1542,0.2109,0.8499,1.0,0.7056
1,13,0.1455,0.2243,0.8456,1.0,0.7
1,14,0.1366,0.2142,0.849,1.0,0.7153
1,15,0.1229,0.235,0.8367,1.0,0.6897
1,16,0.1163,0.2155,0.8631,1.0,0.741
1,17,0.1102,0.2218,0.8572,1.0,0.7251
1,18,0.1014,0.2262,0.8603,1.0,0.7416
1,19,0.0959,0.2502,0.8445,1.0,0.6927
1,20,0.0904,0.2379,0.8576,1.0,0.7327
2,1,0.4246,0.3172,0.6943,1.0,0.5099
2,2,0.3034,0.2837,0.7458,1.0,0.5611
2,3,0.2789,0.2706,0.7625,1.0,0.5847
2,4,0.2595,0.2606,0.7769,1.0,0.6124
2,5,0.2427,0.254,0.7917,1.0,0.6391
2,6,0.229,0.2481,0.7959,1.0,0.6282
2,7,0.2157,0.2771,0.7856,1.0,0.5728
2,8,0.1947,0.2298,0.819,1.0,0.6592
2,9,0.1834,0.2501,0.7965,1.0,0.6265
2,10,0.1713,0.2245,0.8307,1.0,0.6921
2,11,0.1599,0.2223,0.8351,1.0,0.6877
2,12,0.1465,0.2297,0.8265,1.0,0.6892
2,13,0.1322,0.2495,0.8163,1.0,0.6569
2,14,0.1274,0.2298,0.8359,1.0,0.6964
2,15,0.1229,0.2274,0.8396,1.0,0.6939
2,16,0.1111,0.2383,0.8374,1.0,0.7077
2,17,0.1054,0.23,0.8535,1.0,0.7176
2,18,0.0931,0.2311,0.8556,1.0,0.7283
2,19,0.0872,0.2365,0.8519,1.0,0.7175
2,20,0.0827,0.2602,0.8361,1.0,0.6944
3,1,0.4157,0.3359,0.6487,1.0,0.4474
3,2,0.3042,0.2959,0.7109,1.0,0.5453
3,3,0.279,0.2862,0.7249,1.0,0.5698
3,4,0.2601,0.2671,0.761,1.0,0.622
3,5,0.2457,0.2637,0.7726,1.0,0.6194
3,6,0.2265,0.2697,0.7588,1.0,0.589
3,7,0.212,0.257,0.7835,1.0,0.6364
3,8,0.2005,0.261,0.7788,1.0,0.6081
3,9,0.184,0.2465,0.8019,1.0,0.6455
3,10,0.1719,0.276,0.7758,1.0,0.6142
3,11,0.1642,0.2553,0.7967,1.0,0.6391
3,12,0.149,0.2515,0.8042,1.0,0.6619
3,13,0.1396,0.2642,0.7988,1.0,0.6453
3,14,0.1304,0.253,0.814,1.0,0.6652
3,15,0.1235,0.2703,0.8028,1.0,0.6429
3,16,0.1139,0.2663,0.8057,1.0,0.6724
3,17,0.1038,0.2699,0.8157,1.0,0.6755
3,18,0.0968,0.2708,0.8062,1.0,0.6682
3,19,0.0928,0.2652,0.8219,1.0,0.6911
3,20,0.0852,0.2593,0.8271,1.0,0.6859
4,1,0.4157,0.3274,0.6723,1.0,0.5081
4,2,0.3032,0.3043,0.699,1.0,0.5341
4,3,0.2783,0.2901,0.7187,1.0,0.5473
4,4,0.2597,0.2728,0.743,1.0,0.5856
4,5,0.2444,0.2686,0.7537,1.0,0.5856
4,6,0.2292,0.2625,0.7606,1.0,0.6093
4,7,0.214,0.2559,0.7749,1.0,0.6211
4,8,0.1959,0.2421,0.7942,1.0,0.6365
4,9,0.1831,0.262,0.7741,1.0,0.6271
4,10,0.1761,0.2451,0.7991,1.0,0.6466
4,11,0.1592,0.2405,0.8115,1.0,0.6703
4,12,0.1507,0.2427,0.815,1.0,0.6749
4,13,0.1386,0.2511,0.813,1.0,0.6767
4,14,0.1277,0.2426,0.8245,1.0,0.6779
4,15,0.1213,0.2357,0.8408,1.0,0.7038
4,16,0.1111,0.2398,0.8362,1.0,0.6962
4,17,0.1082,0.2375,0.8328,1.0,0.6907
4,18,0.0923,0.2561,0.8344,1.0,0.686
4,19,0.0915,0.2455,0.8413,1.0,0.6987
4,20,0.0836,0.2652,0.8418,1.0,0.7074
5,1,0.4228,0.3228,0.6733,1.0,0.5079
5,2,0.3049,0.2936,0.7196,1.0,0.5426
5,3,0.2783,0.2854,0.7275,1.0,0.5584
5,4,0.259,0.2757,0.736,1.0,0.5769
5,5,0.24,0.2642,0.7651,1.0,0.6095
5,6,0.2279,0.2618,0.7729,1.0,0.581
5,7,0.2127,0.2541,0.7763,1.0,0.6201
5,8,0.1937,0.2621,0.774,1.0,0.6124
5,9,0.1831,0.2488,0.7907,1.0,0.6387
5,10,0.1716,0.2511,0.7985,1.0,0.6326
5,11,0.1599,0.2405,0.8126,1.0,0.6608
5,12,0.1483,0.2331,0.8266,1.0,0.6979
5,13,0.1361,0.2693,0.8151,1.0,0.6714
5,14,0.1256,0.2938,0.818,1.0,0.6513
5,15,0.1203,0.2599,0.8161,1.0,0.6832
5,16,0.11,0.2459,0.837,1.0,0.6967
5,17,0.1051,0.2427,0.8305,1.0,0.6974
5,18,0.0961,0.2597,0.8279,1.0,0.6875
5,19,0.0907,0.2729,0.8299,1.0,0.6966
5,20,0.084,0.26,0.8333,1.0,0.7062
