fold,epoch,train_loss,val_loss,pr_auc,recall
1,1,0.0979,0.0655,0.044,0.0886
1,2,0.0465,0.0217,0.0851,0.0127
1,3,0.0221,0.015,0.1314,0.0
1,4,0.0164,0.0148,0.1371,0.0
1,5,0.0148,0.0123,0.2977,0.0127
1,6,0.0142,0.0119,0.3316,0.0253
1,7,0.0132,0.0113,0.3443,0.038
1,8,0.0135,0.0109,0.3611,0.0253
1,9,0.0126,0.0112,0.3618,0.0886
1,10,0.012,0.0108,0.3659,0.0886
1,11,0.0118,0.0105,0.4498,0.0506
1,12,0.0109,0.0101,0.4096,0.0127
1,13,0.0116,0.0108,0.3956,0.0127
1,14,0.011,0.0109,0.3824,0.0253
1,15,0.0105,0.0106,0.4551,0.0127
1,16,0.0106,0.0102,0.4407,0.0253
1,17,0.0105,0.0102,0.4493,0.0633
1,18,0.0101,0.0109,0.3999,0.0127
1,19,0.0104,0.0105,0.4004,0.0253
2,1,0.2039,0.174,0.0424,0.6835
2,2,0.0957,0.0487,0.0468,0.0253
2,3,0.0349,0.0183,0.0705,0.0
2,4,0.0206,0.0148,0.1087,0.0
2,5,0.017,0.0148,0.1291,0.0
2,6,0.0151,0.0131,0.2241,0.0
2,7,0.0146,0.0126,0.2569,0.0
2,8,0.0145,0.0125,0.3159,0.0127
2,9,0.0137,0.0131,0.2807,0.0
2,10,0.0133,0.0134,0.2834,0.038
2,11,0.0127,0.0131,0.3567,0.0127
2,12,0.0125,0.0119,0.3675,0.038
2,13,0.0119,0.0114,0.3708,0.0127
2,14,0.0117,0.0116,0.3478,0.038
2,15,0.0115,0.0117,0.403,0.0506
2,16,0.0114,0.0112,0.4036,0.1139
2,17,0.0111,0.0117,0.371,0.0253
2,18,0.0111,0.0116,0.3707,0.0253
2,19,0.0111,0.012,0.3883,0.0253
2,20,0.0109,0.0119,0.403,0.0253
2,21,0.0107,0.0114,0.393,0.0127
2,22,0.0103,0.0118,0.4051,0.0127
2,23,0.0101,0.0118,0.3892,0.038
3,1,0.1639,0.1133,0.0494,0.4304
3,2,0.0761,0.0373,0.0584,0.0506
3,3,0.0301,0.0197,0.0722,0.0
3,4,0.0192,0.0159,0.1451,0.0127
3,5,0.0162,0.0132,0.1982,0.0253
3,6,0.015,0.0119,0.2974,0.0253
3,7,0.0137,0.0115,0.296,0.0253
3,8,0.0134,0.0115,0.3497,0.0886
3,9,0.0129,0.0113,0.3716,0.1013
3,10,0.0126,0.0105,0.4097,0.038
3,11,0.0128,0.0111,0.4303,0.0886
3,12,0.012,0.0105,0.4309,0.1139
3,13,0.0122,0.0112,0.4114,0.1266
3,14,0.0118,0.0107,0.4517,0.1266
3,15,0.0113,0.0106,0.4538,0.0633
3,16,0.0109,0.0134,0.4463,0.0886
3,17,0.011,0.0103,0.4317,0.038
3,18,0.0108,0.0108,0.4514,0.038
3,19,0.0106,0.0102,0.4286,0.0506
3,20,0.0104,0.0096,0.4655,0.038
3,21,0.0104,0.01,0.4281,0.0506
3,22,0.0097,0.0098,0.4343,0.0253
3,23,0.0102,0.0097,0.4449,0.0506
3,24,0.0099,0.0097,0.4577,0.0506
3,25,0.0098,0.0098,0.4759,0.0633
3,26,0.01,0.0097,0.4678,0.0506
3,27,0.0098,0.0097,0.4825,0.0506
4,1,0.1268,0.0735,0.0485,0.1538
4,2,0.0584,0.0306,0.0554,0.0
