fold,epoch,train_loss,val_loss,pr_auc,recall
1,1,0.0719,0.0499,0.2495,0.5316
1,2,0.0476,0.0329,0.3563,0.5696
1,3,0.037,0.0259,0.4438,0.6456
1,4,0.0289,0.0163,0.5211,0.5696
1,5,0.0226,0.0157,0.5053,0.5949
1,6,0.018,0.0247,0.4516,0.6329
1,7,0.0146,0.0171,0.5058,0.5696
1,8,0.0115,0.0193,0.543,0.557
1,9,0.0109,0.0163,0.4871,0.443
1,10,0.0083,0.0141,0.51,0.4304
1,11,0.0073,0.0169,0.5534,0.5316
1,12,0.0065,0.0163,0.4773,0.3544
1,13,0.0045,0.0172,0.5032,0.3924
1,14,0.0044,0.0164,0.5252,0.4684
1,15,0.0032,0.0178,0.4838,0.3544
1,16,0.0041,0.0176,0.5185,0.4557
1,17,0.003,0.017,0.526,0.3544
2,1,0.0781,0.0549,0.2534,0.443
2,2,0.0489,0.0398,0.4245,0.6076
2,3,0.0359,0.0198,0.4893,0.5316
2,4,0.0279,0.0221,0.4208,0.5063
2,5,0.0221,0.0172,0.4709,0.5316
2,6,0.0174,0.0137,0.4735,0.481
2,7,0.0146,0.0139,0.4371,0.443
2,8,0.0113,0.0154,0.4913,0.4684
2,9,0.01,0.0153,0.5118,0.4937
2,10,0.0082,0.0144,0.545,0.4684
2,11,0.0075,0.0145,0.5527,0.4051
2,12,0.0055,0.0196,0.4722,0.4051
2,13,0.0052,0.0163,0.4986,0.4304
3,1,0.0815,0.0624,0.1911,0.5063
3,2,0.0483,0.0355,0.355,0.5696
3,3,0.0377,0.0317,0.4236,0.6582
3,4,0.0305,0.0183,0.481,0.6076
3,5,0.0225,0.0193,0.5334,0.5949
3,6,0.0189,0.0166,0.5235,0.5443
3,7,0.0147,0.0176,0.492,0.5696
3,8,0.0121,0.0134,0.4523,0.3418
3,9,0.0099,0.0134,0.48,0.3671
3,10,0.0091,0.0151,0.421,0.3544
3,11,0.0067,0.0149,0.4845,0.3671
3,12,0.0062,0.0185,0.3989,0.2658
3,13,0.0054,0.0177,0.4289,0.3038
3,14,0.0058,0.0156,0.5048,0.3418
3,15,0.0037,0.0168,0.5173,0.4304
3,16,0.0036,0.0202,0.4113,0.3544
4,1,0.0736,0.0718,0.2626,0.6026
4,2,0.048,0.0353,0.3953,0.6282
4,3,0.0365,0.0301,0.4495,0.6154
4,4,0.0283,0.0233,0.4813,0.6026
4,5,0.0217,0.0174,0.4487,0.5
4,6,0.0169,0.0181,0.427,0.5256
4,7,0.0147,0.015,0.4785,0.4744
4,8,0.0118,0.0168,0.4275,0.4615
4,9,0.0098,0.0167,0.4705,0.3974
4,10,0.0083,0.0182,0.3958,0.2692
4,11,0.0077,0.0158,0.4639,0.3846
4,12,0.0069,0.0154,0.4883,0.4487
4,13,0.0047,0.0166,0.3862,0.2051
4,14,0.0043,0.0183,0.4675,0.3077
5,1,0.1358,0.1272,0.2806,0.7692
5,2,0.0544,0.0317,0.45,0.5128
5,3,0.0386,0.0223,0.4278,0.5
5,4,0.0302,0.0208,0.483,0.5
5,5,0.0231,0.0196,0.5218,0.5256
5,6,0.0189,0.0124,0.4923,0.359
5,7,0.0153,0.0168,0.4989,0.4744
5,8,0.0129,0.016,0.4187,0.3974
5,9,0.0109,0.0162,0.4021,0.4103
5,10,0.0089,0.0172,0.4429,0.4359
5,11,0.0071,0.0157,0.5277,0.4487
5,12,0.0071,0.0189,0.4186,0.3846
5,13,0.0058,0.0154,0.4643,0.3077
