fold,epoch,train_loss,val_loss,pr_auc,recall
1,1,0.1929,0.1626,0.0345,0.5443
1,2,0.089,0.0415,0.0586,0.0506
1,3,0.0325,0.0197,0.1759,0.0253
1,4,0.0184,0.0138,0.2558,0.0127
1,5,0.0149,0.0126,0.2447,0.0
1,6,0.0133,0.0117,0.2993,0.0253
1,7,0.0121,0.0111,0.3501,0.0127
1,8,0.0115,0.0114,0.3916,0.0
1,9,0.011,0.0116,0.3519,0.0
1,10,0.0114,0.0101,0.4837,0.0506
1,11,0.0105,0.011,0.4006,0.0253
1,12,0.0104,0.0097,0.4712,0.0127
1,13,0.0104,0.0099,0.4349,0.1013
1,14,0.0099,0.0104,0.4187,0.0506
1,15,0.0093,0.01,0.4751,0.0759
1,16,0.0093,0.0097,0.5246,0.1013
1,17,0.0093,0.0099,0.4849,0.1392
1,18,0.0089,0.0099,0.4839,0.0506
1,19,0.0085,0.0096,0.5085,0.0886
1,20,0.0081,0.0101,0.4981,0.1013
1,21,0.0079,0.0101,0.4737,0.1392
1,22,0.0077,0.0102,0.4599,0.0633
1,23,0.0077,0.0099,0.4911,0.1013
1,24,0.0074,0.0109,0.4159,0.0633
1,25,0.0073,0.0106,0.4505,0.1392
1,26,0.0075,0.0103,0.461,0.0886
2,1,0.0951,0.0742,0.0381,0.0886
2,2,0.0461,0.0203,0.1034,0.0
2,3,0.0211,0.0141,0.2354,0.0
2,4,0.0151,0.0122,0.353,0.0
2,5,0.0136,0.0114,0.3847,0.0
2,6,0.0121,0.0113,0.404,0.0
2,7,0.0115,0.011,0.4104,0.1392
2,8,0.0115,0.0104,0.4408,0.0
2,9,0.0112,0.0103,0.4408,0.0127
2,10,0.0111,0.0105,0.4583,0.0
2,11,0.0102,0.0099,0.4953,0.0
2,12,0.0097,0.0106,0.4749,0.0
2,13,0.0094,0.0105,0.4735,0.0127
2,14,0.0091,0.0101,0.5101,0.0253
2,15,0.0092,0.0099,0.5176,0.1139
2,16,0.0088,0.0107,0.5302,0.0253
2,17,0.0086,0.0097,0.5293,0.0759
2,18,0.0083,0.0104,0.5321,0.0506
2,19,0.0081,0.0098,0.5196,0.0886
2,20,0.0079,0.0093,0.5454,0.1772
2,21,0.0078,0.0104,0.5174,0.0759
2,22,0.0072,0.0101,0.5527,0.0886
2,23,0.007,0.0101,0.5512,0.1013
2,24,0.007,0.0101,0.5485,0.1519
2,25,0.0072,0.0099,0.5578,0.1519
2,26,0.0066,0.0102,0.54,0.1139
2,27,0.0064,0.01,0.5605,0.1646
3,1,0.0996,0.0621,0.0423,0.0633
3,2,0.0453,0.026,0.0789,0.0
3,3,0.0219,0.0162,0.1985,0.0127
3,4,0.015,0.0124,0.365,0.0253
3,5,0.0138,0.0115,0.407,0.038
3,6,0.0123,0.0101,0.4719,0.0127
3,7,0.0117,0.0107,0.4483,0.0127
3,8,0.0111,0.0106,0.4057,0.0253
3,9,0.0105,0.0103,0.4362,0.0127
3,10,0.0107,0.01,0.4512,0.0127
3,11,0.0104,0.0104,0.4302,0.0
3,12,0.0098,0.0103,0.4518,0.0127
3,13,0.0095,0.0097,0.4938,0.0253
3,14,0.0093,0.0095,0.4968,0.0253
3,15,0.0089,0.0097,0.4736,0.0506
3,16,0.0087,0.0096,0.4963,0.0759
3,17,0.0083,0.0092,0.5234,0.1646
3,18,0.0081,0.0094,0.5355,0.1013
3,19,0.0076,0.0093,0.5166,0.1266
3,20,0.0077,0.0095,0.5275,0.1266
3,21,0.0073,0.0101,0.4981,0.1392
3,22,0.0071,0.0099,0.5044,0.1646
3,23,0.0069,0.0099,0.5293,0.1519
3,24,0.007,0.0097,0.5322,0.1772
4,1,0.2177,0.1743,0.0314,0.5
4,2,0.1007,0.0541,0.0404,0.0256
4,3,0.0365,0.0215,0.1105,0.0256
4,4,0.0201,0.0164,0.1354,0.0128
4,5,0.0152,0.0127,0.2625,0.0385
4,6,0.0139,0.0129,0.2566,0.0128
4,7,0.0125,0.0115,0.3524,0.0128
4,8,0.0121,0.0119,0.2678,0.0128
4,9,0.0117,0.0115,0.3859,0.0128
4,10,0.0113,0.0118,0.3126,0.0
4,11,0.0111,0.011,0.3876,0.0769
4,12,0.0104,0.0109,0.3934,0.1026
4,13,0.0099,0.0103,0.4203,0.1026
4,14,0.0101,0.0106,0.4327,0.0897
4,15,0.0097,0.0113,0.4133,0.0256
4,16,0.009,0.0105,0.4282,0.1154
4,17,0.0096,0.0107,0.4553,0.1026
4,18,0.0087,0.0109,0.441,0.0897
4,19,0.0088,0.0105,0.4372,0.1282
4,20,0.0086,0.0105,0.4561,0.141
5,1,0.2451,0.1665,0.0492,0.6923
5,2,0.1154,0.043,0.0591,0.0256
5,3,0.0401,0.0213,0.0721,0.0
5,4,0.0204,0.0144,0.154,0.0
5,5,0.0155,0.0129,0.2299,0.0
5,6,0.0135,0.0121,0.2651,0.0
5,7,0.0124,0.0108,0.3753,0.0256
5,8,0.0118,0.0112,0.4156,0.0128
5,9,0.011,0.011,0.3936,0.0641
5,10,0.0107,0.0107,0.4392,0.0769
5,11,0.0108,0.0105,0.4815,0.0641
5,12,0.0103,0.0102,0.492,0.1282
5,13,0.0101,0.0107,0.4914,0.0769
5,14,0.0095,0.0105,0.4745,0.1154
5,15,0.0094,0.0106,0.449,0.1026
5,16,0.0091,0.0102,0.488,0.141
5,17,0.0086,0.01,0.4938,0.1026
5,18,0.0086,0.0098,0.5335,0.141
5,19,0.0078,0.0103,0.5076,0.1282
5,20,0.0081,0.0106,0.4977,0.1026
5,21,0.0084,0.0106,0.494,0.141
5,22,0.0077,0.0101,0.5081,0.2564
5,23,0.0076,0.0107,0.5029,0.1923
5,24,0.0073,0.0107,0.5128,0.2051
5,25,0.0072,0.0107,0.4943,0.1667
