fold,epoch,train_loss,val_loss,pr_auc,recall
1,1,0.0837,0.0746,0.2114,0.557
1,2,0.0559,0.0354,0.3253,0.4937
1,3,0.0444,0.0311,0.4147,0.6456
1,4,0.0379,0.0241,0.4442,0.5316
1,5,0.0323,0.0239,0.5155,0.5823
1,6,0.0279,0.0177,0.493,0.5443
1,7,0.0248,0.0193,0.4574,0.5823
1,8,0.0222,0.0188,0.5042,0.5696
1,9,0.0193,0.0185,0.5441,0.6329
1,10,0.0166,0.0136,0.4711,0.4304
1,11,0.0148,0.0173,0.4189,0.4684
1,12,0.0134,0.0172,0.4445,0.4684
1,13,0.0116,0.0167,0.4408,0.4557
1,14,0.011,0.0146,0.5022,0.443
1,15,0.0099,0.0186,0.4299,0.4177
1,16,0.0081,0.0195,0.4467,0.4937
1,17,0.0078,0.0214,0.4456,0.519
2,1,0.0799,0.0501,0.2525,0.4557
2,2,0.0579,0.0421,0.3676,0.6076
2,3,0.0471,0.0322,0.3954,0.5949
2,4,0.0394,0.0237,0.357,0.4937
2,5,0.034,0.0224,0.4565,0.5063
2,6,0.0304,0.0207,0.4946,0.519
2,7,0.0267,0.0174,0.4658,0.5443
2,8,0.0233,0.0204,0.4158,0.5063
2,9,0.0205,0.0164,0.4623,0.5316
2,10,0.0188,0.0172,0.4182,0.4557
2,11,0.0173,0.0192,0.3682,0.4304
2,12,0.0147,0.0166,0.4372,0.4304
2,13,0.0133,0.0162,0.4165,0.4177
2,14,0.0128,0.0151,0.4652,0.4177
2,15,0.0108,0.0158,0.4612,0.4557
2,16,0.0092,0.0161,0.4668,0.4304
2,17,0.0088,0.018,0.4468,0.3671
2,18,0.008,0.0147,0.4947,0.3924
2,19,0.0068,0.0164,0.4916,0.4051
2,20,0.0063,0.0183,0.4872,0.3797
2,21,0.0061,0.0155,0.5279,0.3797
2,22,0.0058,0.0162,0.492,0.3797
2,23,0.0053,0.0161,0.5076,0.3544
2,24,0.0051,0.0172,0.494,0.3797
2,25,0.0046,0.0165,0.5106,0.4051
3,1,0.0723,0.0608,0.1932,0.5316
3,2,0.0552,0.0399,0.3345,0.6456
3,3,0.043,0.0339,0.352,0.6456
3,4,0.0366,0.0231,0.3819,0.5063
3,5,0.0315,0.0223,0.3499,0.519
3,6,0.0286,0.025,0.3773,0.5823
3,7,0.0251,0.0174,0.4127,0.4557
3,8,0.0225,0.0184,0.4105,0.5063
3,9,0.0199,0.0188,0.3782,0.481
3,10,0.0179,0.0161,0.3984,0.4304
3,11,0.0164,0.0164,0.4092,0.4557
3,12,0.0145,0.0161,0.4314,0.3924
3,13,0.0131,0.0156,0.4041,0.3924
3,14,0.0109,0.0165,0.3761,0.3418
3,15,0.0098,0.0184,0.3918,0.3797
3,16,0.0092,0.0165,0.404,0.3418
3,17,0.0087,0.0189,0.3624,0.4177
3,18,0.0075,0.0186,0.3605,0.2785
3,19,0.0068,0.0184,0.3882,0.3544
3,20,0.0066,0.0193,0.3975,0.2785
4,1,0.0938,0.0795,0.2325,0.5769
4,2,0.0561,0.0312,0.3259,0.4487
4,3,0.0456,0.0255,0.3835,0.5256
4,4,0.0378,0.022,0.4053,0.5513
4,5,0.0323,0.0179,0.4255,0.5128
4,6,0.0281,0.0225,0.4247,0.5769
4,7,0.0248,0.0177,0.3769,0.5
4,8,0.0233,0.0195,0.4189,0.5641
4,9,0.0202,0.0176,0.3525,0.4359
4,10,0.0178,0.0154,0.3866,0.4103
4,11,0.016,0.0172,0.362,0.5
4,12,0.014,0.0164,0.3859,0.4615
4,13,0.0123,0.0162,0.3765,0.359
4,14,0.0116,0.0165,0.3912,0.4231
4,15,0.0113,0.0175,0.3835,0.4359
4,16,0.0091,0.0189,0.3944,0.4103
4,17,0.0086,0.021,0.376,0.4744
5,1,0.0784,0.0512,0.2103,0.4872
5,2,0.0565,0.0327,0.306,0.5769
5,3,0.0456,0.0265,0.322,0.5128
5,4,0.0369,0.0293,0.2996,0.6538
5,5,0.0312,0.0192,0.3418,0.5
5,6,0.0278,0.0194,0.3982,0.5385
5,7,0.0245,0.0171,0.3844,0.4615
5,8,0.0218,0.0178,0.3863,0.4615
5,9,0.0195,0.0183,0.3446,0.4487
5,10,0.0161,0.019,0.3566,0.3974
5,11,0.0151,0.0191,0.3474,0.359
5,12,0.0129,0.0186,0.3648,0.4103
5,13,0.0121,0.021,0.3677,0.4615
5,14,0.0109,0.0184,0.3762,0.359
